, Adaptability, All Around Friendliness, Exercise Needs, Health Grooming, Trainability,Adapts Well to Apartment Living,Affectionate with Family,Amount Of Shedding,Dog Friendly,Drooling Potential,Easy To Groom,Easy To Train,Energy Level,Exercise Needs,Friendly Toward Strangers,General Health,Good For Novice Owners,Incredibly Kid Friendly Dogs,Intelligence,Intensity,Potential For Mouthiness,Potential For Playfulness,Potential For Weight Gain,Prey Drive,Sensitivity Level,Size,Tendency To Bark Or Howl,Tolerates Being Alone,Tolerates Cold Weather,Tolerates Hot Weather,Wanderlust Potential
miniature-pinscher,3,3,4,3,3,5,5,2,2,1,5,3,4,4,3,3,3,3,3,3,2,5,5,3,5,1,1,2,1,3,5
miniature-schnauzer,4,4,4,2,4,4,5,2,3,1,2,5,5,5,3,3,3,3,4,3,2,4,4,4,4,2,3,5,4,4,3
newfoundland,3,5,3,4,4,1,5,5,4,5,2,5,3,3,4,1,3,5,4,1,3,4,4,4,4,5,4,1,5,2,3
norfolk-terrier,4,5,4,3,3,4,5,1,5,1,4,5,4,4,4,5,5,4,4,4,2,5,5,1,4,1,3,3,4,4,4
norwegian-elkhound,4,4,4,3,4,4,5,5,4,1,3,2,5,5,4,4,4,4,4,3,3,4,4,4,4,3,4,2,5,3,4
norwich-terrier,4,5,5,3,4,5,5,2,5,1,2,4,5,4,5,4,3,5,4,4,4,5,5,3,4,1,4,2,4,4,4
old-english-sheepdog,4,4,4,3,3,5,5,1,4,4,1,3,4,4,4,4,4,4,4,3,2,4,4,3,4,4,1,2,4,2,2
otterhound,3,5,5,3,4,1,5,4,5,1,2,2,5,5,4,4,4,5,4,4,3,5,3,5,2,4,2,5,4,3,5
papillon,3,4,4,2,3,5,5,2,4,1,3,5,4,5,5,3,5,3,4,3,3,5,3,4,3,1,2,1,2,4,1
pomeranian,3,3,3,3,3,4,5,4,2,1,2,4,3,2,3,3,4,2,4,2,2,3,4,2,4,1,5,1,4,2,1
pug,3,4,4,3,2,5,5,5,4,1,5,3,3,3,4,1,5,4,2,4,2,5,5,3,3,2,2,1,2,1,2
rhodesian-ridgeback,3,4,5,4,3,1,5,4,4,1,5,2,4,5,3,4,2,4,4,4,3,5,3,5,4,4,1,2,3,3,5
rottweiler,2,4,4,4,4,2,5,4,2,4,5,4,4,4,4,2,1,4,5,4,3,5,5,4,4,3,4,1,2,3,2
saint-bernard,3,5,3,4,2,3,5,4,5,5,2,2,3,2,5,2,2,5,4,2,3,4,4,1,4,5,1,1,5,1,2
saluki,2,4,4,3,4,1,5,2,4,1,4,4,5,5,1,4,2,4,4,2,4,5,1,5,5,4,1,1,2,3,5
samoyed,3,5,4,3,4,2,5,5,5,2,1,3,5,5,5,3,2,5,3,2,3,5,4,5,4,3,3,2,5,1,4
schipperke,3,3,5,3,3,4,4,3,2,1,5,2,5,5,2,4,4,5,4,3,3,5,5,2,4,1,4,3,3,2,5
scottish-deerhound,3,4,5,3,3,1,5,5,2,1,2,2,5,5,5,3,1,4,3,5,4,5,4,5,3,5,1,2,4,4,4
sealyham-terrier,4,4,4,3,3,4,4,4,4,3,1,3,4,4,3,5,4,4,4,2,2,4,3,2,4,2,2,2,4,3,3
shetland-sheepdog,3,5,4,3,3,2,5,5,4,1,2,5,4,4,5,4,3,5,5,2,1,4,3,3,5,1,1,2,4,3,2
shih-tzu,3,5,3,2,3,5,5,3,4,1,1,3,2,2,5,3,5,4,4,3,4,4,4,4,3,1,2,3,3,1,2
siberian-husky,3,5,5,3,4,2,5,3,5,3,2,2,5,5,5,4,1,5,3,3,4,5,2,3,4,3,5,1,5,3,5
silky-terrier,3,3,4,3,4,5,4,2,2,1,4,4,4,3,3,4,3,3,4,4,2,4,3,5,3,1,4,3,1,4,3
soft-coated-wheaten-terrier,3,5,4,3,3,5,5,2,5,1,3,4,4,4,5,4,4,5,4,3,2,5,3,3,4,3,3,2,2,3,4
standard-schnauzer,3,3,5,2,4,4,4,1,3,1,2,3,5,5,2,5,2,4,5,3,3,5,1,5,4,3,2,2,4,4,5
sussex-spaniel,4,5,2,3,3,5,5,3,5,1,4,3,2,2,5,4,5,5,5,1,2,4,5,1,5,2,4,1,5,5,1
tibetan-mastiff,3,4,3,3,3,1,5,2,5,2,4,1,4,2,2,3,1,5,5,2,5,5,4,3,5,5,2,1,5,2,3
tibetan-terrier,4,4,5,2,3,5,5,1,4,1,1,4,5,5,3,5,3,5,4,4,2,5,3,2,4,2,2,1,4,4,3
vizsla,3,5,5,3,4,1,5,2,5,1,5,5,5,5,5,4,3,5,4,4,4,5,2,2,5,3,5,1,1,4,5
weimaraner,3,4,5,4,4,1,5,4,3,4,5,4,5,5,3,3,2,4,5,5,5,5,2,5,5,4,2,1,3,4,5
welsh-springer-spaniel,4,4,5,3,4,4,5,3,4,1,4,5,5,5,3,4,4,5,5,4,3,4,4,3,5,3,5,1,4,4,5
west-highland-white-terrier,4,4,4,3,4,4,5,4,5,1,3,4,4,4,3,3,4,4,4,4,2,4,4,4,4,2,4,2,4,3,3
whippet,3,5,4,3,4,5,5,2,4,1,5,4,5,5,4,4,3,5,4,2,4,5,1,5,5,3,1,2,1,4,4
yorkshire-terrier,3,3,5,2,3,5,4,2,3,1,1,3,5,4,2,4,4,2,3,4,2,5,2,2,5,1,3,2,2,2,3
airedale-terrier,2,4,5,3,5,1,4,2,4,1,2,4,5,5,3,3,2,4,5,3,5,5,4,5,3,3,4,2,3,3,4
alaskan-malamute,2,4,5,3,4,1,4,5,2,1,1,4,5,5,5,4,1,3,4,5,3,5,3,4,4,4,5,1,5,2,5
american-eskimo-dog,4,5,4,3,4,5,5,5,5,1,3,5,5,4,4,5,4,5,4,3,3,5,4,3,4,2,4,2,5,3,3
appenzeller-sennenhunde,3,4,4,3,4,1,5,3,3,1,5,4,4,5,2,4,3,5,4,4,5,4,3,3,3,3,5,1,5,4,3
australian-kelpie,3,3,4,3,5,2,4,3,3,1,4,5,5,5,2,3,2,2,5,3,5,4,2,4,4,3,4,2,3,5,4
basset-hound,3,5,2,4,4,5,5,4,5,4,5,2,2,2,5,1,4,5,4,2,3,2,5,5,4,2,4,3,2,2,5
bearded-collie,3,5,4,3,4,3,5,4,5,1,2,5,4,4,4,3,4,4,4,4,3,5,4,3,4,3,3,2,4,3,5
belgian-malinois,3,4,5,3,4,1,5,2,2,1,5,5,5,5,3,4,3,4,5,4,3,5,2,4,5,4,2,3,4,4,3
bluetick-coonhound,3,4,5,3,4,2,5,2,3,2,5,2,5,5,3,4,2,5,4,4,3,5,3,4,5,3,4,2,3,3,5
cairn-terrier,4,5,5,3,4,5,5,3,4,1,5,2,5,4,4,4,4,5,5,4,3,5,3,4,3,1,4,1,4,4,3
cardigan-welsh-corgi,4,4,3,3,3,4,5,4,3,1,3,4,3,3,3,4,4,4,5,3,2,4,4,4,4,2,2,3,4,3,3
chow-chow,3,1,2,3,2,3,2,1,1,3,1,2,2,2,1,2,2,1,1,2,5,1,4,2,2,4,1,5,5,2,2
clumber-spaniel,4,4,3,4,4,5,5,5,4,5,1,4,3,2,3,2,5,3,3,1,5,5,5,5,4,3,1,2,5,2,4
dandie-dinmont-terrier,3,4,3,2,3,4,5,3,3,1,2,2,3,2,3,3,4,4,3,3,3,4,4,4,3,1,2,2,3,3,3
doberman-pinscher,3,3,4,4,3,3,5,4,1,4,5,5,3,3,3,1,3,3,5,3,2,5,3,1,5,4,1,2,1,4,2
english-cocker-spaniel,4,5,4,3,4,5,5,3,5,1,3,4,5,4,5,4,4,5,5,3,3,5,5,5,5,2,4,1,4,3,4
english-springer-spaniel,3,5,5,3,4,1,5,3,5,1,2,5,5,5,4,3,3,5,5,3,3,5,3,5,4,3,3,1,3,4,4
entlebucher-mountain-dog,3,4,5,3,4,1,5,3,3,1,5,3,5,5,2,3,2,5,4,4,4,5,3,4,4,3,5,3,4,2,3
german-shepherd-dog,3,4,5,4,4,3,5,5,2,1,5,5,5,5,4,4,2,5,5,5,5,5,2,4,5,4,4,2,4,3,2
leonberger,2,4,4,4,3,1,5,5,3,3,4,2,4,4,2,1,1,4,3,4,4,4,4,4,4,5,3,2,5,1,2
lhasa-apso,4,3,4,2,3,5,4,3,3,1,1,3,4,3,2,3,5,4,4,3,3,5,3,4,5,1,4,4,3,2,2
maltese-shih-tzu,3,3,3,2,4,5,4,1,3,1,2,4,3,3,3,2,5,3,3,2,4,3,3,5,3,1,4,3,2,2,1
pembroke-welsh-corgi,4,4,4,3,3,4,5,5,3,1,4,5,4,4,5,3,4,4,5,3,2,4,4,3,4,2,2,3,4,3,2
petit-basset-griffon-vendeen,3,5,5,3,4,4,5,4,5,1,2,1,5,5,5,3,3,5,4,4,3,5,4,5,3,2,5,3,4,3,5
pocket-beagle,3,5,4,3,4,4,5,3,5,1,5,3,4,4,4,3,3,5,4,4,4,4,5,3,4,2,5,2,2,4,5
puggle,4,5,3,3,3,4,3,3,5,1,5,2,3,3,5,4,5,5,3,2,3,3,5,2,3,2,4,3,3,3,5
redbone-coonhound,3,4,5,3,4,4,5,2,4,4,5,3,4,5,3,3,2,5,4,4,4,5,3,4,5,3,4,2,3,2,5
cavalier-king-charles-spaniel,4,5,4,3,3,5,5,3,5,1,4,4,3,4,5,4,5,5,4,2,3,5,4,3,5,2,3,1,3,2,2
boston-terrier,4,5,5,3,3,5,4,2,5,1,5,4,4,4,4,4,4,5,4,5,2,5,3,2,5,2,3,3,3,2,5
brussels-griffon,3,3,4,3,3,5,5,3,4,3,3,3,5,4,3,3,2,1,4,3,3,5,3,1,5,1,4,1,1,2,5
brittany,3,5,5,4,4,1,5,3,5,5,3,3,5,5,4,4,3,5,5,3,3,5,3,5,5,3,3,1,4,3,4
bullmastiff,3,4,4,4,3,3,5,1,4,5,5,3,2,3,3,2,2,5,3,4,3,5,5,3,4,5,4,2,4,2,3
german-shorthaired-pointer,2,4,5,3,5,1,5,2,4,2,5,5,5,5,3,3,2,5,5,3,4,5,3,5,4,3,3,1,2,4,5
belgian-sheepdog,4,5,5,3,4,3,4,5,5,1,3,5,5,5,4,3,3,5,5,3,2,5,2,5,5,4,1,3,4,3,4
japanese-chin,3,3,2,2,3,5,3,3,3,1,3,3,2,2,4,3,4,3,3,1,4,4,3,3,3,1,3,1,3,2,1
maltese,3,4,3,2,3,5,5,2,4,1,2,4,3,2,2,3,5,3,4,3,3,4,3,4,4,1,2,1,1,3,1
xoloitzuintli,3,3,3,4,4,5,5,5,2,1,5,3,3,3,1,5,1,3,5,3,3,3,3,5,5,3,5,1,3,3,5
pekingese,3,3,2,2,4,5,5,4,2,1,1,3,2,2,2,2,4,2,4,1,3,3,3,5,2,1,4,3,4,1,3
scottish-terrier,3,4,4,2,3,4,5,2,4,1,2,1,4,4,4,4,2,4,4,4,3,4,3,3,4,2,4,3,4,3,5
staffordshire-bull-terrier,2,4,4,3,3,3,5,3,1,3,5,2,3,4,5,3,1,5,3,3,2,5,4,2,4,2,3,2,3,1,4
poodle,4,5,4,2,4,5,5,1,4,1,1,5,4,4,4,2,5,5,5,3,4,5,4,2,4,4,2,1,3,4,3
toy-fox-terrier,3,4,5,3,4,5,5,4,3,1,5,3,5,5,3,5,3,4,4,4,2,5,2,5,4,1,4,1,2,3,4
treeing-walker-coonhound,3,4,4,4,4,1,4,3,3,2,5,2,4,5,3,4,2,4,4,4,3,3,3,4,5,4,5,2,3,3,5
fox-terrier,3,4,5,2,4,3,4,2,3,1,2,5,5,5,3,4,3,4,5,5,3,5,2,5,3,2,3,3,3,4,3
